Best Role,Pos Grp
Goalkeeper,GK
Sweeper Keeper,GK
Ball Playing Defender,CB
Central Defender,CB
Libero,CB
No-Nonsense Centre-Back,CB
Wide Centre-Back,CB
Complete Wing-Back,FB
Full-Back,FB
Inverted Full-Back,FB
Inverted Wing-Back,FB
No-Nonsense Full-Back,FB
Wing-Back,FB
Anchor,DM
Ball Winning Midfielder,DM
Box To Box Midfielder,DM
Carrilero,DM
Central Midfielder,DM
Deep Lying Playmaker,DM
Defensive Midfielder,DM
Half Back,DM
Regista,DM
Roaming Playmaker,DM
Segundo Volante,DM
Advanced Playmaker,AM
Attacking Midfielder,AM
Enganche,AM
Mezzala,AM
Raumdeuter,AM
Shadow Striker,AM
Trequartista,AM
Defensive Winger,WF
Inside Forward,WF
Inverted Winger,WF
Wide Midfielder,WF
Wide Playmaker,WF
Wide Target Forward,WF
Winger,WF
Advanced Forward,CF
Complete Forward,CF
Deep Lying Forward,CF
False Nine,CF
Poacher,CF
Pressing Forward,CF
Target Forward,CF
